Priority,Women / Men,Product,Internet Name,Brand,ASIN,Safety Toe,Sole Features,Special Characteristics,Leather,Sole Material,Rubber Shield,Weight (lbs),Titulo Producto 1,Product 1,ASIN 1,Titulo Producto 2,Product 2,ASIN 2,Titulo Product 3,Product 3,ASIN 3,Titile Product 4,Product 4,ASIN 4
Priority 1,Men,BrdShark - Steel Toe,BrdShrk,CEBU,,Steel Toe,Versatile,Soft Toe,Yes,Polyurethane,No,5,"CEBU Men's WP Waterproof Soft Toe 10"" Pull On Work Boots",WP,,"CEBU Men's Tractor Soft Toe Heavy Duty 10"" Pull On Work Boots",Tractor,,"CEBU Men's Comfort Soft Toe Wedge Sole 10"" Pull On Work Boots",BrdShark,B0187VRPHY,"CEBU Men's Tk Farmer Steel Toe Cowboy 10"" Pull On Work Boots",Tk Farmer,
Priority 1,Men,Farmer - Steel Toe,Farmer,CEBU,,Steel Toe,Versatile,Steel Toe,Yes,Polyurethane,No,5,"CEBU Men's WP Waterproof Soft Toe 10"" Pull On Work Boots",WP,,"CEBU Men's Tractor Soft Toe Heavy Duty 10"" Pull On Work Boots",Tractor,,"CEBU Men's BorceShark Soft Toe Versatile 6"" Work Boots",Farmer,B088W5WLKN,"CEBU Men's BrdShark Steel Toe Versatile 10"" Pull On Work Boots",BrdShark,
Priority 1,Men,R Flex - Soft Toe,R Flex,CEBU,,Soft Toe,Versatile,Square Toe,Yes,HULE,Yes,4.5,"CEBU Men's WP Waterproof Soft Toe 10"" Pull On Work Boots",WP,,"CEBU Men's Tractor Soft Toe Heavy Duty 10"" Pull On Work Boots",Tractor,,"CEBU Men's Tractor Soft Toe Heavy Duty 10"" Pull On Work Boots",Tractor,,"CEBU Men's Tractor Soft Toe Heavy Duty 10"" Pull On Work Boots",Tractor,B07GGM73DZ
Priority 1,Men,Ranger - Soft Toe,Ranger,CEBU,,Soft Toe,3-Layer Sole,Square Toe,Yes,HULE & EVA,No,3.3,"CEBU Men's WP Waterproof Soft Toe 10"" Pull On Work Boots",WP,,"CEBU Men's Tractor Soft Toe Heavy Duty 10"" Pull On Work Boots",Tractor,,"CEBU Men's Rodeo Composite Toe Cowboy 10"" Pull On Work Boots",Rodeo,,"CEBU Men's Farmer Steel Toe Cowboy 10"" Pull On Work Boots",Farmer,
Priority 1,Men,Rul 500 - Soft Toe,Rul 500,CEBU,,Soft Toe,3-Layer Sole,Heavy Duty,Yes,EVA HULADA,Yes,3,"CEBU Men's WP Waterproof Soft Toe 10"" Pull On Work Boots",WP,,"CEBU Men's Tractor Soft Toe Heavy Duty 10"" Pull On Work Boots",Tractor,,"CEBU Men's Comfort Soft Toe Wedge Sole 10"" Pull On Work Boots",Comfort,,"CEBU Men's Comfort Soft Toe Wedge Sole 10"" Pull On Work Boots",Max,
Priority 1,Men,Tk Bordo - Steel Toe,Tk Bordo,CEBU,,Steel Toe,Heavy Duty,Heavy Duty,Yes,HULE,No,5,"CEBU Men's WP Waterproof Soft Toe 10"" Pull On Work Boots",WP,,"CEBU Men's Tractor Soft Toe Heavy Duty 10"" Pull On Work Boots",Tractor,,"CEBU Men's Farmer Steel Toe Cowboy 10"" Pull On Work Boots",Farmer,,"CEBU Men's Guardax Soft Toe Versatile 10"" Pull On Work Boots",Tk Guardax,
Priority 1,Men,Tk Farmer - Steel Toe,Tk Farmer,CEBU,,Steel Toe,Wedge Sole,Heavy Duty,Yes,HULE,No,5.5,"CEBU Men's WP Waterproof Soft Toe 10"" Pull On Work Boots",WP,,"CEBU Men's Tractor Soft Toe Heavy Duty 10"" Pull On Work Boots",Tractor,,"CEBU Men's Tk Lacer Steel Toe Heavy Duty 8"" Work Boots",Tk Lacer,,"CEBU Men's Rul 500 Soft Toe Wedge Sole 10"" Pull On Work Boots",Rul 500,
Priority 1,Men,Dakota - Soft Toe,Dakota,Pradera,,Soft Toe,3-Layer Sole,Steel Toe,Yes,Polyurethane,No,3,"PRADERA Men's PR Track Soft Toe Cowboy 10"" Pull On Work Boots Chocolate",PR Track,B08835NX3B,"PRADERA Men's PR Track Steel Toe Cowboy 10"" Pull On Work Boots",PR Track,,"PRADERA Men's PR Rayas Steel Toe Cowboy 10"" Pull On Work Boots",PR Rayas,,"PRADERA Men's PR Track Steel Toe Cowboy 10"" Pull On Work Boots",PR Track,
Priority 1,Men,TRC1 - Soft Toe,TRC1,Toro Bravo,,Soft Toe,Heavy Duty,Heavy Duty,Yes,3 Layers Sole,No,4.5,"TORO BRAVO Men's TRC3P Soft Toe Cowboy 10"" Pull On Work Boots",TRC3P,B088WPT92H,"TORO BRAVO Men's TLC1 Soft Toe Cowboy 8"" Work Boots",TLC1,,"TORO BRAVO Women's TLC1WN Steel Toe Cowgirl 8"" Work Boots",Tractor,#REF!,"TORO BRAVO Men's TRC1 Steel Toe Cowboy 10"" Pull On Work Boots",TRC1,B088WJXQKH
Priority 1,Men,TRC1 - Steel Toe,TRC1,Toro Bravo,,Steel Toe,Wedge Sole,Heavy Duty,Yes,3 Layers Sole,No,5,"TORO BRAVO Men's TRC3P Soft Toe Cowboy 10"" Pull On Work Boots",TRC3P,B088WPT92H,"TORO BRAVO Men's TLC1 Soft Toe Cowboy 8"" Work Boots",TLC1,,"TORO BRAVO Women's TLC1WN Steel Toe Cowgirl 8"" Work Boots",Tractor,#REF!,"TORO BRAVO Men's TRC1 Soft Toe Cowboy 10"" Pull On Work Boots",TRC1,B088WCJ9S
